Yeelen,"Cissé, Souleymane",?,,Film,,,-,,f/CISS1/,,,CISS1,,,,,C,,y,y,-,y
Brazil,"Gilliam, Terry",?,,Film,,,-,,f/GILL1/,,,GILL1,,,,,G,,y,y,-,y
The City of Lost Children,"Jeunet, Jean-Pierre & Caro, Marc",?,,Film,,,-,,f/JEUN1/,,,JEUN1,,,,,J,,y,y,-,y
Moon,"Jones, Duncan",?,,Film,,,-,,f/JONE3/,,,JONE3,,,,,J,,y,y,-,y
The Host,"Joon-ho, Bong",?,,Film,,,-,,f/JOON1/,,,JOON1,,,,,J,,y,y,-,y
Atanarjuat,"Kunuk, Zacharias",?,,Film,,,-,,f/KUNU1/,,,KUNU1,,,,,K,,y,y,-,y
Things to Come,"Menzies, William Cameron",?,,Film,,,-,,f/MENZ1/,,,MENZ1,,,,,M,,y,y,-,y
Planet of the Apes,"Schaffner, Franklin J.",?,,Film,,,-,,f/SCHA1/,,,SCHA1,,,,,S,,y,y,-,y
Men In Black,"Sonnenfeld, Barry",?,,Film,,,-,,f/SONN1/,,,SONN1,,,,,S,,y,y,-,y
The Day The Earth Stood Still,"Wise, Robert",?,,Film,,,-,,f/WISE1/,,,WISE1,,,,,W,,y,y,-,y
